,total_amount_before_tax,days_booked_prior_to_arrival,duration_of_stay,booking_hour,booking_is_weekend,arrival_is_weekend,is_cancelled
total_amount_before_tax,1.0,0.03578244353660021,0.7280232895546673,-0.004342045917193527,-0.019170508931487813,-0.04598949367153589,0.06711208956094208
days_booked_prior_to_arrival,0.03578244353660021,1.0,-0.06808720644738182,-0.005966949720473389,0.00857215250986891,-0.004058551780727506,0.4094478669031769
duration_of_stay,0.7280232895546673,-0.06808720644738182,1.0,0.0005109197593199274,-0.006876764958908093,-0.016024667028029044,-0.019744260269982467
booking_hour,-0.004342045917193527,-0.005966949720473389,0.0005109197593199274,1.0,0.05587463801443301,0.0037947498959404655,-0.0205519694865949
booking_is_weekend,-0.019170508931487813,0.00857215250986891,-0.006876764958908093,0.05587463801443301,1.0,0.00935299414475568,-0.018076496754841513
arrival_is_weekend,-0.04598949367153589,-0.004058551780727506,-0.016024667028029044,0.0037947498959404655,0.00935299414475568,1.0,-0.021661974335950872
is_cancelled,0.06711208956094208,0.4094478669031769,-0.019744260269982467,-0.0205519694865949,-0.018076496754841513,-0.021661974335950872,1.0
